SaleID,ProductID,ProductName,Category,QuantitySold,PricePerUnit,TotalAmount,SaleDate
1,6,Office Chair Ergonomic,Furniture,9,175.67,1581.03,2022-12-16
2,5,USB-C Hub,Accessories,4,69.62,278.48,2022-11-22
3,2,Wireless Mouse,Electronics,8,38.8,310.4,2022-04-20
4,12,Smartphone X,Electronics,10,850.21,8502.1,2022-05-04
5,9,Cloud Computing Textbook,Books,8,79.82,638.56,2022-01-18
6,3,Mechanical Keyboard,Electronics,9,88.43,795.87,2022-06-03
7,11,Webcam HD 1080p,Electronics,4,58.1,232.4,2022-01-23
8,8,Python Programming Book,Books,7,38.65,270.55,2022-09-16
9,4,"4K UHD Monitor 27""",Electronics,7,420.37,2942.59,2022-09-13
10,13,Tablet S,Electronics,1,620.19,620.19,2022-08-04
11,14,Printer All-in-One,Office Supplies,5,152.68,763.4,2022-07-03
12,8,Python Programming Book,Books,5,54.0,270.0,2022-06-22
13,5,USB-C Hub,Accessories,3,64.8,194.4,2022-01-25
14,7,Standing Desk (Electric),Furniture,10,576.68,5766.8,2022-04-05
15,10,Noise Cancelling Headphones,Electronics,3,178.27,534.81,2022-09-16
16,8,Python Programming Book,Books,1,40.1,40.1,2022-07-15
17,7,Standing Desk (Electric),Furniture,1,455.82,455.82,2022-07-26
18,4,"4K UHD Monitor 27""",Electronics,3,390.0,1170.0,2022-09-29
19,6,Office Chair Ergonomic,Furniture,7,206.44,1445.08,2022-07-29
20,13,Tablet S,Electronics,7,499.64,3497.48,2022-02-08
21,4,"4K UHD Monitor 27""",Electronics,3,457.56,1372.68,2022-07-23
22,5,USB-C Hub,Accessories,9,67.9,611.1,2022-04-24
23,2,Wireless Mouse,Electronics,6,21.39,128.34,2022-06-18
24,11,Webcam HD 1080p,Electronics,7,63.68,445.76,2022-05-28
25,7,Standing Desk (Electric),Furniture,1,493.63,493.63,2022-12-24
26,4,"4K UHD Monitor 27""",Electronics,7,490.86,3436.02,2022-09-17
27,4,"4K UHD Monitor 27""",Electronics,5,366.09,1830.45,2022-07-13
28,15,A4 Printing Paper (Ream),Office Supplies,2,12.2,24.4,2022-01-06
29,2,Wireless Mouse,Electronics,1,38.33,38.33,2022-02-10
30,6,Office Chair Ergonomic,Furniture,8,192.7,1541.6,2022-08-30
31,11,Webcam HD 1080p,Electronics,6,95.61,573.66,2022-07-09
32,15,A4 Printing Paper (Ream),Office Supplies,10,8.52,85.2,2022-04-02
33,10,Noise Cancelling Headphones,Electronics,8,313.13,2505.04,2022-09-23
34,12,Smartphone X,Electronics,4,1044.91,4179.64,2022-04-29
35,3,Mechanical Keyboard,Electronics,7,144.68,1012.76,2022-07-26
36,7,Standing Desk (Electric),Furniture,9,575.95,5183.55,2022-05-17
37,13,Tablet S,Electronics,8,601.43,4811.44,2022-07-01
38,5,USB-C Hub,Accessories,3,55.12,165.36,2022-12-10
39,11,Webcam HD 1080p,Electronics,4,45.85,183.4,2022-11-09
40,4,"4K UHD Monitor 27""",Electronics,6,286.42,1718.52,2022-08-16
41,7,Standing Desk (Electric),Furniture,7,508.62,3560.34,2022-03-20
42,3,Mechanical Keyboard,Electronics,5,100.89,504.45,2022-10-18
43,10,Noise Cancelling Headphones,Electronics,5,150.79,753.95,2022-10-22
44,15,A4 Printing Paper (Ream),Office Supplies,10,12.95,129.5,2022-07-30
45,4,"4K UHD Monitor 27""",Electronics,9,316.79,2851.11,2022-03-01
46,10,Noise Cancelling Headphones,Electronics,1,202.51,202.51,2022-08-22
47,15,A4 Printing Paper (Ream),Office Supplies,10,8.76,87.6,2022-11-20
48,6,Office Chair Ergonomic,Furniture,8,354.48,2835.84,2022-06-17
49,2,Wireless Mouse,Electronics,1,39.7,39.7,2022-08-17
50,8,Python Programming Book,Books,10,67.3,673.0,2022-10-28
51,11,Webcam HD 1080p,Electronics,5,73.61,368.05,2022-04-01
52,10,Noise Cancelling Headphones,Electronics,5,212.07,1060.35,2022-01-14
53,15,A4 Printing Paper (Ream),Office Supplies,3,7.88,23.64,2022-04-13
54,2,Wireless Mouse,Electronics,8,38.7,309.6,2022-04-30
55,1,"Laptop Pro 13""",Electronics,8,1487.54,11900.32,2022-06-02
