SaleID,ProductID,ProductName,Category,QuantitySold,PricePerUnit,TotalAmount,SaleDate
1,8,Python Programming Book,Books,10,44.09,440.9,2025-05-10
2,10,Noise Cancelling Headphones,Electronics,8,191.49,1531.92,2025-01-18
3,12,Smartphone X,Electronics,1,1070.85,1070.85,2025-10-17
4,6,Office Chair Ergonomic,Furniture,8,266.06,2128.48,2025-02-28
5,10,Noise Cancelling Headphones,Electronics,9,286.77,2580.93,2025-11-17
6,3,Mechanical Keyboard,Electronics,8,118.81,950.48,2025-05-09
7,12,Smartphone X,Electronics,3,1161.65,3484.95,2025-12-07
8,9,Cloud Computing Textbook,Books,8,82.7,661.6,2025-05-28
9,5,USB-C Hub,Accessories,2,35.45,70.9,2025-09-13
10,10,Noise Cancelling Headphones,Electronics,4,169.1,676.4,2025-01-03
11,6,Office Chair Ergonomic,Furniture,3,172.9,518.7,2025-09-22
12,11,Webcam HD 1080p,Electronics,7,110.68,774.76,2025-07-03
13,14,Printer All-in-One,Office Supplies,3,112.08,336.24,2025-04-16
14,11,Webcam HD 1080p,Electronics,9,93.57,842.13,2025-11-01
15,1,"Laptop Pro 13""",Electronics,6,938.33,5629.98,2025-03-12
16,12,Smartphone X,Electronics,4,1176.47,4705.88,2025-04-22
17,15,A4 Printing Paper (Ream),Office Supplies,7,7.35,51.45,2025-09-29
18,12,Smartphone X,Electronics,4,1047.22,4188.88,2025-10-01
19,4,"4K UHD Monitor 27""",Electronics,5,374.54,1872.7,2025-06-30
20,5,USB-C Hub,Accessories,6,52.65,315.9,2025-11-06
21,1,"Laptop Pro 13""",Electronics,6,1061.42,6368.52,2025-05-31
22,7,Standing Desk (Electric),Furniture,3,346.99,1040.97,2025-04-11
23,1,"Laptop Pro 13""",Electronics,5,1010.32,5051.6,2025-08-19
24,7,Standing Desk (Electric),Furniture,4,417.77,1671.08,2025-01-07
25,15,A4 Printing Paper (Ream),Office Supplies,1,5.83,5.83,2025-10-23
26,14,Printer All-in-One,Office Supplies,2,125.52,251.04,2025-09-01
27,3,Mechanical Keyboard,Electronics,2,84.57,169.14,2025-10-21
28,12,Smartphone X,Electronics,9,624.94,5624.46,2025-06-13
29,9,Cloud Computing Textbook,Books,8,48.87,390.96,2025-10-30
30,10,Noise Cancelling Headphones,Electronics,9,108.43,975.87,2025-07-22
31,6,Office Chair Ergonomic,Furniture,10,261.24,2612.4,2025-11-08
32,6,Office Chair Ergonomic,Furniture,6,196.7,1180.2,2025-01-23
33,11,Webcam HD 1080p,Electronics,9,117.47,1057.23,2025-09-26
34,6,Office Chair Ergonomic,Furniture,10,312.2,3122.0,2025-03-27
35,10,Noise Cancelling Headphones,Electronics,6,130.65,783.9,2025-01-14
36,10,Noise Cancelling Headphones,Electronics,6,198.11,1188.66,2025-12-10
37,10,Noise Cancelling Headphones,Electronics,2,189.97,379.94,2025-12-09
38,4,"4K UHD Monitor 27""",Electronics,5,258.7,1293.5,2025-05-16
39,4,"4K UHD Monitor 27""",Electronics,1,454.0,454.0,2025-11-02
40,8,Python Programming Book,Books,7,69.99,489.93,2025-05-04
41,13,Tablet S,Electronics,6,785.38,4712.28,2025-05-10
42,5,USB-C Hub,Accessories,8,49.38,395.04,2025-11-22
43,7,Standing Desk (Electric),Furniture,10,608.99,6089.9,2025-11-10
44,11,Webcam HD 1080p,Electronics,8,42.89,343.12,2025-02-23
45,8,Python Programming Book,Books,9,44.47,400.23,2025-11-29
46,11,Webcam HD 1080p,Electronics,10,117.52,1175.2,2025-07-21
47,6,Office Chair Ergonomic,Furniture,7,398.36,2788.52,2025-10-04
48,9,Cloud Computing Textbook,Books,9,77.99,701.91,2025-05-29
49,12,Smartphone X,Electronics,3,989.23,2967.69,2025-03-02
50,14,Printer All-in-One,Office Supplies,1,246.36,246.36,2025-05-12
51,13,Tablet S,Electronics,9,443.17,3988.53,2025-07-29
52,6,Office Chair Ergonomic,Furniture,10,189.58,1895.8,2025-02-25
53,7,Standing Desk (Electric),Furniture,2,687.82,1375.64,2025-04-10
54,3,Mechanical Keyboard,Electronics,2,77.84,155.68,2025-12-08
55,14,Printer All-in-One,Office Supplies,1,161.43,161.43,2025-12-21
56,14,Printer All-in-One,Office Supplies,3,163.7,491.1,2025-04-10
57,13,Tablet S,Electronics,10,526.93,5269.3,2025-01-19
58,11,Webcam HD 1080p,Electronics,1,56.01,56.01,2025-10-19
59,12,Smartphone X,Electronics,10,804.71,8047.1,2025-06-23
60,14,Printer All-in-One,Office Supplies,4,172.96,691.84,2025-04-29
61,4,"4K UHD Monitor 27""",Electronics,6,313.4,1880.4,2025-10-15
62,6,Office Chair Ergonomic,Furniture,1,228.67,228.67,2025-09-27
63,12,Smartphone X,Electronics,7,694.55,4861.85,2025-09-02
64,2,Wireless Mouse,Electronics,3,33.07,99.21,2025-09-17
65,8,Python Programming Book,Books,9,26.23,236.07,2025-08-02
66,5,USB-C Hub,Accessories,3,71.55,214.65,2025-10-22
67,10,Noise Cancelling Headphones,Electronics,4,247.41,989.64,2025-12-04
68,1,"Laptop Pro 13""",Electronics,3,1163.37,3490.11,2025-06-29
69,15,A4 Printing Paper (Ream),Office Supplies,6,5.73,34.38,2025-12-20
70,7,Standing Desk (Electric),Furniture,10,653.28,6532.8,2025-06-16
71,14,Printer All-in-One,Office Supplies,8,169.45,1355.6,2025-09-25
72,6,Office Chair Ergonomic,Furniture,9,334.36,3009.24,2025-10-17
73,13,Tablet S,Electronics,6,797.46,4784.76,2025-10-20
74,15,A4 Printing Paper (Ream),Office Supplies,9,7.46,67.14,2025-08-01
75,14,Printer All-in-One,Office Supplies,2,94.08,188.16,2025-03-21
76,8,Python Programming Book,Books,3,66.91,200.73,2025-12-14
77,5,USB-C Hub,Accessories,7,40.43,283.01,2025-07-19
78,12,Smartphone X,Electronics,9,725.58,6530.22,2025-04-01
79,7,Standing Desk (Electric),Furniture,3,632.27,1896.81,2025-09-29
80,15,A4 Printing Paper (Ream),Office Supplies,9,6.26,56.34,2025-09-04
81,5,USB-C Hub,Accessories,1,35.38,35.38,2025-11-10
82,14,Printer All-in-One,Office Supplies,1,237.58,237.58,2025-10-10
83,2,Wireless Mouse,Electronics,8,38.92,311.36,2025-12-11
84,11,Webcam HD 1080p,Electronics,3,92.19,276.57,2025-12-16
85,5,USB-C Hub,Accessories,9,33.41,300.69,2025-04-03
86,10,Noise Cancelling Headphones,Electronics,9,285.49,2569.41,2025-09-20
87,3,Mechanical Keyboard,Electronics,5,96.47,482.35,2025-01-30
88,9,Cloud Computing Textbook,Books,2,81.78,163.56,2025-08-08
89,6,Office Chair Ergonomic,Furniture,6,363.4,2180.4,2025-12-02
90,11,Webcam HD 1080p,Electronics,9,114.93,1034.37,2025-11-04
91,9,Cloud Computing Textbook,Books,10,75.96,759.6,2025-05-03
92,6,Office Chair Ergonomic,Furniture,8,215.21,1721.68,2025-06-13
93,15,A4 Printing Paper (Ream),Office Supplies,5,8.95,44.75,2025-12-15
94,15,A4 Printing Paper (Ream),Office Supplies,8,13.67,109.36,2025-06-07
95,15,A4 Printing Paper (Ream),Office Supplies,5,9.83,49.15,2025-09-25
96,12,Smartphone X,Electronics,3,724.93,2174.79,2025-06-02
97,1,"Laptop Pro 13""",Electronics,6,1102.52,6615.12,2025-04-06
98,7,Standing Desk (Electric),Furniture,1,411.5,411.5,2025-06-07
99,5,USB-C Hub,Accessories,8,76.54,612.32,2025-02-08
100,7,Standing Desk (Electric),Furniture,7,591.89,4143.23,2025-01-31
101,2,Wireless Mouse,Electronics,2,40.66,81.32,2025-03-26
102,15,A4 Printing Paper (Ream),Office Supplies,10,8.99,89.9,2025-01-03
103,7,Standing Desk (Electric),Furniture,10,318.43,3184.3,2025-08-27
104,10,Noise Cancelling Headphones,Electronics,3,273.19,819.57,2025-12-23
105,10,Noise Cancelling Headphones,Electronics,2,207.02,414.04,2025-03-01
106,11,Webcam HD 1080p,Electronics,9,115.0,1035.0,2025-10-01
107,3,Mechanical Keyboard,Electronics,10,144.26,1442.6,2025-03-14
108,14,Printer All-in-One,Office Supplies,7,226.25,1583.75,2025-01-20
109,8,Python Programming Book,Books,9,52.75,474.75,2025-02-06
110,8,Python Programming Book,Books,1,69.25,69.25,2025-01-27
111,3,Mechanical Keyboard,Electronics,3,171.26,513.78,2025-11-09
112,1,"Laptop Pro 13""",Electronics,9,1360.53,12244.77,2025-09-10
113,3,Mechanical Keyboard,Electronics,6,92.94,557.64,2025-09-24
114,11,Webcam HD 1080p,Electronics,5,78.69,393.45,2025-05-30
115,6,Office Chair Ergonomic,Furniture,10,280.43,2804.3,2025-08-31
116,2,Wireless Mouse,Electronics,9,44.21,397.89,2025-04-07
117,4,"4K UHD Monitor 27""",Electronics,7,471.58,3301.06,2025-11-02
118,12,Smartphone X,Electronics,6,955.21,5731.26,2025-04-21
119,14,Printer All-in-One,Office Supplies,2,188.22,376.44,2025-05-14
120,8,Python Programming Book,Books,1,56.28,56.28,2025-01-09
121,3,Mechanical Keyboard,Electronics,9,168.47,1516.23,2025-09-30
122,6,Office Chair Ergonomic,Furniture,4,294.17,1176.68,2025-04-27
123,15,A4 Printing Paper (Ream),Office Supplies,4,7.86,31.44,2025-01-08
124,2,Wireless Mouse,Electronics,2,24.22,48.44,2025-04-25
125,9,Cloud Computing Textbook,Books,7,82.62,578.34,2025-06-11
126,9,Cloud Computing Textbook,Books,5,69.56,347.8,2025-12-05
127,5,USB-C Hub,Accessories,9,37.04,333.36,2025-04-02
128,2,Wireless Mouse,Electronics,6,30.43,182.58,2025-03-13
129,1,"Laptop Pro 13""",Electronics,8,1400.16,11201.28,2025-11-14
130,3,Mechanical Keyboard,Electronics,7,186.33,1304.31,2025-10-26
131,4,"4K UHD Monitor 27""",Electronics,9,389.33,3503.97,2025-05-13
132,6,Office Chair Ergonomic,Furniture,3,355.36,1066.08,2025-12-26
133,11,Webcam HD 1080p,Electronics,4,48.36,193.44,2025-08-08
134,2,Wireless Mouse,Electronics,9,43.93,395.37,2025-02-18
135,12,Smartphone X,Electronics,1,1104.56,1104.56,2025-09-10
136,7,Standing Desk (Electric),Furniture,1,443.7,443.7,2025-07-12
137,5,USB-C Hub,Accessories,2,60.24,120.48,2025-07-26
138,14,Printer All-in-One,Office Supplies,8,157.14,1257.12,2025-06-16
139,13,Tablet S,Electronics,9,653.06,5877.54,2025-06-05
140,7,Standing Desk (Electric),Furniture,9,666.49,5998.41,2025-01-02
141,1,"Laptop Pro 13""",Electronics,10,1159.32,11593.2,2025-11-21
142,3,Mechanical Keyboard,Electronics,4,73.68,294.72,2025-11-30
143,8,Python Programming Book,Books,7,48.78,341.46,2025-01-22
144,4,"4K UHD Monitor 27""",Electronics,5,412.35,2061.75,2025-06-22
145,8,Python Programming Book,Books,6,53.54,321.24,2025-12-05
146,4,"4K UHD Monitor 27""",Electronics,7,298.97,2092.79,2025-11-01
147,13,Tablet S,Electronics,2,384.36,768.72,2025-04-08
148,8,Python Programming Book,Books,5,39.03,195.15,2025-09-10
149,10,Noise Cancelling Headphones,Electronics,6,189.57,1137.42,2025-03-17
150,14,Printer All-in-One,Office Supplies,3,231.91,695.73,2025-10-03
151,3,Mechanical Keyboard,Electronics,1,161.88,161.88,2025-01-14
152,14,Printer All-in-One,Office Supplies,2,99.64,199.28,2025-06-17
153,14,Printer All-in-One,Office Supplies,10,191.96,1919.6,2025-03-19
154,9,Cloud Computing Textbook,Books,3,54.17,162.51,2025-11-07
155,6,Office Chair Ergonomic,Furniture,6,228.12,1368.72,2025-07-15
156,10,Noise Cancelling Headphones,Electronics,10,178.87,1788.7,2025-04-23
157,3,Mechanical Keyboard,Electronics,5,78.29,391.45,2025-10-16
158,15,A4 Printing Paper (Ream),Office Supplies,5,12.46,62.3,2025-11-08
159,14,Printer All-in-One,Office Supplies,4,181.49,725.96,2025-08-11
160,14,Printer All-in-One,Office Supplies,5,152.51,762.55,2025-06-27
161,14,Printer All-in-One,Office Supplies,3,246.13,738.39,2025-09-26
162,4,"4K UHD Monitor 27""",Electronics,5,359.42,1797.1,2025-08-19
163,13,Tablet S,Electronics,7,726.23,5083.61,2025-06-18
164,11,Webcam HD 1080p,Electronics,5,96.75,483.75,2025-05-06
